0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
147,4,31,523,13,263,264,6,524,2,265,7,81,2,96,41,525,13,63,526,4,527,2,54,266,7,2,82,528,267,529,17,148,4,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,97,6,14,531,532,268,69,13,10,149,3,533,70,16,15,534,14,535,28,2,536,117,2,537,13,269,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,42,118,9,47,4,98,5,270,3,16,538,2,42,118,271,3,14,150,5,16,13,10,272,3,539,273,2,42,118,540,99,541,5,274,7,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,542,3,543,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,276,198,119,32,151,277,278,279,280,281,282,283,284,544,545,285,546,547,152,286,287,288,289,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,101,35,549,10,153,2,4,34,5,83,7,2,550,3,551,552,15,553,5,2,97,3,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,84,3,2,554,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,2,291,33,16,7,292,3,14,150,11,2,293,3,10,294,555,295,10,272,4,296,297,4,33,16,7,64,11,2,293,3,10,556,557,295,10,558,4,296,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,48,560,298,17,561,3,562,563,3,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,2,566,2,567,3,2,299,120,2,36,55,85,4,103,2,31,300,13,65,16,2,42,118,3,54,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,570,154,571,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,55,85,572,4,2,96,9,2,573,574,575,11,2,301,3,65,16,2,576,4,577,578,302,303,86,104,197,2,304,5,579,580,87,25,581,70,16,43,2,96,9,2,305,5,2,0,0,0,0,0,0,0,0,0,0
105,3,2,306,12,2,4,582,5,16,7,12,4,583,2,584,13,2,36,43,2,36,85,4,9,155,5,16,9,307,585,17,36,11,308,9,7,586,33,4,16,22,64,12,2,309,0,0,0,0,0,0,0,0,0,0,0
587,8,12,154,97,200,3,121,6,2,588,201,3,2,589,310,590,14,591,11,2,592,15,304,66,593,6,594,6,23,595,311,88,5,596,305,5,4,7,5,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,66,12,106,122,6,123,5,2,66,12,106,122,6,123,5,2,66,12,106,122,6,123,5,2,66,12,106,122,6,123,5,2,66,12,106,122,6,123,597,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,29,313,156,4,314,2,315,157,29,23,156,4,314,2,315,313,599,10,107,4,71,600,11,71,202,125,72,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,55,2,601,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,108,4,2,42,6,37,2,316,3,2,203,49,126,5,37,2,4,89,4,2,204,7,10,317,3,318,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,108,4,2,42,6,37,2,316,3,2,203,49,126,5,37,2,4,89,4,2,204,7,10,317,3,318,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,55,11,320,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,603,604,605,154,35,2,3,205,606,6,2,18,607,2,321,3,127,608,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22,73,73,206,609,86,610,29,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,2,44,2,49,612,12,38,613,614,3,615,4,2,50,64,13,109,3,322,15,128,616,9,44,5,2,6,14,207,129,14,617,6,618,9,47,4,20,619,2,620,2,621,26,74,75,622,0,0,0,0,0,0,0,0
2,36,55,11,320,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
